User_Query,Intent,University_Major,Min_Science_x,Min_Math_x,Min_Tech,Min_Eco,Min_Letters,Min_Foreign_Lang,Language,Code_Fil,Allowed_Wilayas,University_Name
What can I study in AERONAUTIQUE?,major_info,AERONAUTIQUE,15.45,0.0,0.0,0.0,0.0,0.0,en,A06LAN01,"12,20,National",المركز الجامعي المختص
What can I study in AERONAUTIQUE?,major_info,AERONAUTIQUE,15.45,0.0,0.0,0.0,0.0,0.0,en,A06IAN01,National,المركز الجامعي المختص
What can I study in ANGLAIS TECHNIQUE (FORMATION CONTINUE)?,major_info,ANGLAIS TECHNIQUE (FORMATION CONTINUE),0.0,0.0,0.0,10.0,10.0,10.0,en,H06FCL05,National,المركز الجامعي المختص
What can I study in ANGLAIS TECHNIQUE (FORMATION CONTINUE)?,major_info,ANGLAIS TECHNIQUE (FORMATION CONTINUE),0.0,0.0,0.0,10.0,10.0,10.0,en,H06FCL02,"12,16,National",المركز الجامعي المختص
What can I study in ANGLAIS TECHNIQUE (FORMATION CONTINUE)?,major_info,ANGLAIS TECHNIQUE (FORMATION CONTINUE),0.0,0.0,0.0,10.0,10.0,10.0,en,H06FCL03,"16,National",المركز الجامعي المختص
What can I study in ANGLAIS TECHNIQUE (FORMATION CONTINUE)?,major_info,ANGLAIS TECHNIQUE (FORMATION CONTINUE),0.0,0.0,0.0,10.0,10.0,10.0,en,H06FCL04,National,المركز الجامعي المختص
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ADRAR?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ADRAR,13.64,0.0,0.0,0.0,0.0,0.0,en,,National,ADRAR
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ALGER?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ALGER,15.72,0.0,0.0,0.0,0.0,0.0,en,,National,ALGER
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ANNABA?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ANNABA,15.07,0.0,0.0,0.0,0.0,0.0,en,,National,ANNABA
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS BECHAR?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS BECHAR,13.38,0.0,0.0,0.0,0.0,0.0,en,,National,BECHAR
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS BOUIRA?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS BOUIRA,15.63,0.0,0.0,0.0,0.0,0.0,en,,National,BOUIRA
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS BOUMERDES?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS BOUMERDES,15.09,0.0,0.0,0.0,0.0,0.0,en,,National,BOUMERDES
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS CONSTANTINE?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS CONSTANTINE,15.35,0.0,0.0,0.0,0.0,0.0,en,,National,CONSTANTINE
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS DJANET?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS DJANET,0.0,0.0,0.0,0.0,0.0,0.0,en,,National,DJANET
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ELTARF?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ELTARF,15.11,0.0,0.0,0.0,0.0,0.0,en,,National,ELTARF
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ILLIZI?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ILLIZI,11.95,0.0,0.0,0.0,0.0,0.0,en,,National,ILLIZI
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS IN SALAH?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS IN SALAH,13.19,0.0,0.0,0.0,0.0,0.0,en,,National,IN SALAH
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS JIJEL?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS JIJEL,15.73,0.0,0.0,0.0,0.0,0.0,en,,National,JIJEL
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS KHENCHLA?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS KHENCHLA,15.42,0.0,0.0,0.0,0.0,0.0,en,,National,KHENCHLA
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS LAGHOUAT?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS LAGHOUAT,14.72,15.68,0.0,0.0,0.0,0.0,en,,National,LAGHOUAT
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS MEDEA?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS MEDEA,15.61,0.0,0.0,0.0,0.0,0.0,en,,National,MEDEA
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS MILA?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS MILA,15.43,0.0,0.0,0.0,0.0,0.0,en,,National,MILA
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS NAAMA?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS NAAMA,14.53,0.0,0.0,0.0,0.0,0.0,en,,National,NAAMA
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ORAN?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS ORAN,15.53,0.0,0.0,0.0,0.0,0.0,en,,National,ORAN
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS OUARGLA?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS OUARGLA,13.28,0.0,0.0,0.0,0.0,0.0,en,,National,OUARGLA
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS OULED DJELLAL?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS OULED DJELLAL,13.66,0.0,0.0,0.0,0.0,0.0,en,,National,OULED DJELLAL
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS OUM-EL-BOUAGHI?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS OUM-EL-BOUAGHI,15.48,0.0,0.0,0.0,0.0,0.0,en,,National,OUM-EL-BOUAGHI
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS SETIF?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS SETIF,16.04,0.0,0.0,0.0,0.0,0.0,en,,National,SETIF
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS SKIKDA?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS SKIKDA,15.28,0.0,0.0,0.0,0.0,0.0,en,,National,SKIKDA
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS TAMANRASSET?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS TAMANRASSET,13.88,14.28,0.0,0.0,0.0,0.0,en,,National,TAMANRASSET
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS TIARET?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS TIARET,15.19,0.0,0.0,0.0,0.0,0.0,en,,National,TIARET
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS TIZI-OUZOU?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS TIZI-OUZOU,14.47,0.0,0.0,0.0,0.0,0.0,en,,National,TIZI-OUZOU
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS TLEMCEN?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS TLEMCEN,15.73,0.0,0.0,0.0,0.0,0.0,en,,National,TLEMCEN
What can I study in APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS TOUGGOURT?,major_info,APPAREILLEURS ORTHOPEDISTES DE SANTE PUBLIQUE -- POUR BACHELIERS TOUGGOURT,14.45,0.0,0.0,0.0,0.0,0.0,en,,National,TOUGGOURT
